ML Model,XAI Method,Feature Name,Importance Value (Signed),Importance Value (Absolute),Feature Ranking
DT,SHAP,Packet Length Mean,0.1499404564311166,0.1499404564311166,1
DT,SHAP,Bwd Packet Length Mean,0.0942081214810822,0.0942081214810822,2
DT,SHAP,Init_Win_bytes_backward,0.09211005882603808,0.09211005882603808,3
DT,SHAP,Flow IAT Max,-0.03873533935998647,0.03873533935998647,4
DT,SHAP,Average Packet Size,0.034577553849049154,0.034577553849049154,5
DT,SHAP,Flow IAT Mean,0.028246489823654176,0.028246489823654176,6
DT,SHAP,Bwd Packet Length Max,0.0068759271863277445,0.0068759271863277445,7
DT,SHAP,Avg Fwd Segment Size,-0.0019201921584380368,0.0019201921584380368,8
DT,SHAP,Max Packet Length,-0.0017062427384879275,0.0017062427384879275,9
DT,SHAP,Min Packet Length,0.0013153532908937136,0.0013153532908937136,10
DT,LIME,Init_Win_bytes_backward,-0.06507789670944274,0.06507789670944274,1
DT,LIME,Packet Length Mean,0.04486785116145333,0.04486785116145333,2
DT,LIME,Flow IAT Mean,0.015624553115694901,0.015624553115694901,3
DT,LIME,Bwd Packet Length Mean,-0.01559834130799088,0.01559834130799088,4
DT,LIME,Bwd Packet Length Max,0.015148067758835922,0.015148067758835922,5
DT,LIME,Avg Fwd Segment Size,0.007697877058328035,0.007697877058328035,6
DT,LIME,Max Packet Length,0.006013378322766157,0.006013378322766157,7
DT,LIME,Flow IAT Max,0.005374192911052395,0.005374192911052395,8
DT,LIME,Average Packet Size,0.00378900785607004,0.00378900785607004,9
DT,LIME,Min Packet Length,0.002542823612796252,0.002542823612796252,10
DT,TI,Bwd Packet Length Mean,0.1889006525185163,0.1889006525185163,1
DT,TI,Packet Length Mean,0.1555642404152422,0.1555642404152422,2
DT,TI,Flow IAT Mean,0.009684413403958203,0.009684413403958203,3
DT,TI,Bwd Packet Length Max,0.004467398432172809,0.004467398432172809,4
DT,TI,Init_Win_bytes_backward,0.003672346748238242,0.003672346748238242,5
DT,TI,Avg Fwd Segment Size,0.0016702108390275194,0.0016702108390275194,6
DT,TI,Min Packet Length,0.000551519533665501,0.000551519533665501,7
DT,TI,Average Packet Size,0.00020667822250497458,0.00020667822250497458,8
DT,TI,Max Packet Length,0.00019472651792407092,0.00019472651792407092,9
DT,TI,Flow IAT Max,0.0,0.0,10
RF,SHAP,Bwd Packet Length Mean,0.07008634706574038,0.07008634706574038,1
RF,SHAP,Bwd Packet Length Max,0.0547150990856315,0.0547150990856315,2
RF,SHAP,Init_Win_bytes_backward,0.04808168819930402,0.04808168819930402,3
RF,SHAP,Packet Length Mean,0.04077643727346266,0.04077643727346266,4
RF,SHAP,Average Packet Size,0.03967096384673089,0.03967096384673089,5
RF,SHAP,Flow IAT Mean,0.03556106486643936,0.03556106486643936,6
RF,SHAP,Max Packet Length,0.03402439327144142,0.03402439327144142,7
RF,SHAP,Avg Fwd Segment Size,0.028061360370957113,0.028061360370957113,8
RF,SHAP,Flow IAT Max,0.007126802113428645,0.007126802113428645,9
RF,SHAP,Min Packet Length,0.006878974170923245,0.006878974170923245,10
RF,LIME,Packet Length Mean,0.0371625231862912,0.0371625231862912,1
RF,LIME,Flow IAT Mean,0.03336990074651647,0.03336990074651647,2
RF,LIME,Avg Fwd Segment Size,0.023899351871534243,0.023899351871534243,3
RF,LIME,Bwd Packet Length Max,0.022165313787512526,0.022165313787512526,4
RF,LIME,Bwd Packet Length Mean,0.020139006465706853,0.020139006465706853,5
RF,LIME,Min Packet Length,0.009467394577419588,0.009467394577419588,6
RF,LIME,Max Packet Length,-0.008959559415393585,0.008959559415393585,7
RF,LIME,Flow IAT Max,0.00868018184749137,0.00868018184749137,8
RF,LIME,Init_Win_bytes_backward,0.006031646286444241,0.006031646286444241,9
RF,LIME,Average Packet Size,-0.0035327934895654587,0.0035327934895654587,10
RF,TI,Bwd Packet Length Mean,0.09289897339756026,0.09289897339756026,1
RF,TI,Bwd Packet Length Max,0.06800838192240795,0.06800838192240795,2
RF,TI,Average Packet Size,0.06664867926967294,0.06664867926967294,3
RF,TI,Packet Length Mean,0.06269972751454247,0.06269972751454247,4
