ML Model,XAI Method,Feature Name,Importance Value (Signed),Importance Value (Absolute),Feature Ranking
DT,SHAP,mqtt.conack.flags_0,0.6490621515373066,0.6490621515373066,1
DT,SHAP,mqtt.protoname_0,0.07898463494945822,0.07898463494945822,2
DT,SHAP,mqtt.topic_0,0.0,0.0,3
DT,SHAP,tcp.flags,0.0,0.0,4
DT,SHAP,mqtt.hdrflags,0.0,0.0,5
DT,SHAP,http.request.version_0,0.0,0.0,6
DT,SHAP,mqtt.msgtype,0.0,0.0,7
DT,SHAP,icmp.seq_le,0.0,0.0,8
DT,SHAP,mqtt.conflag.cleansess,0.0,0.0,9
DT,SHAP,mqtt.topic_len,0.0,0.0,10
DT,LIME,mqtt.conack.flags_0,0.3426079847753309,0.3426079847753309,1
DT,LIME,mqtt.protoname_0,0.31952905019250755,0.31952905019250755,2
DT,LIME,mqtt.topic_len,-0.026112061406899797,0.026112061406899797,3
DT,LIME,mqtt.hdrflags,0.020872961041262853,0.020872961041262853,4
DT,LIME,icmp.seq_le,0.019100640799640724,0.019100640799640724,5
DT,LIME,tcp.flags,-0.012292316272938697,0.012292316272938697,6
DT,LIME,mqtt.msgtype,0.009836024411785991,0.009836024411785991,7
DT,LIME,http.request.version_0,-0.008446403341575206,0.008446403341575206,8
DT,LIME,mqtt.conflag.cleansess,-0.0019651675684903007,0.0019651675684903007,9
DT,LIME,mqtt.topic_0,0.0018010595983563849,0.0018010595983563849,10
DT,TI,mqtt.conack.flags_0,0.6073921215935132,0.6073921215935132,1
DT,TI,mqtt.protoname_0,0.1206546648932516,0.1206546648932516,2
DT,TI,mqtt.topic_0,0.0,0.0,3
DT,TI,tcp.flags,0.0,0.0,4
DT,TI,mqtt.hdrflags,0.0,0.0,5
DT,TI,http.request.version_0,0.0,0.0,6
DT,TI,mqtt.msgtype,0.0,0.0,7
DT,TI,icmp.seq_le,0.0,0.0,8
DT,TI,mqtt.conflag.cleansess,0.0,0.0,9
DT,TI,mqtt.topic_len,0.0,0.0,10
RF,SHAP,mqtt.protoname_0,0.2893476856018635,0.2893476856018635,1
RF,SHAP,mqtt.topic_0,0.23263607554898177,0.23263607554898177,2
RF,SHAP,mqtt.conack.flags_0,0.12959880333014528,0.12959880333014528,3
RF,SHAP,http.request.version_0,0.04121154870476868,0.04121154870476868,4
RF,SHAP,mqtt.hdrflags,0.01805606889931271,0.01805606889931271,5
RF,SHAP,mqtt.msgtype,0.01582278590911082,0.01582278590911082,6
RF,SHAP,tcp.flags,-0.005412706318811833,0.005412706318811833,7
RF,SHAP,mqtt.topic_len,0.00539695622549273,0.00539695622549273,8
RF,SHAP,mqtt.conflag.cleansess,0.0020354057504553017,0.0020354057504553017,9
RF,SHAP,icmp.seq_le,-0.0007625973870281705,0.0007625973870281705,10
RF,LIME,mqtt.protoname_0,0.3813357991138373,0.3813357991138373,1
RF,LIME,mqtt.topic_0,0.3146412265058849,0.3146412265058849,2
RF,LIME,mqtt.conack.flags_0,0.10157457392020969,0.10157457392020969,3
RF,LIME,mqtt.msgtype,0.07586966391068574,0.07586966391068574,4
RF,LIME,http.request.version_0,0.07226543371325686,0.07226543371325686,5
RF,LIME,mqtt.hdrflags,0.06341065020683677,0.06341065020683677,6
RF,LIME,icmp.seq_le,-0.020949270844081633,0.020949270844081633,7
RF,LIME,mqtt.topic_len,0.011434413022081822,0.011434413022081822,8
RF,LIME,mqtt.conflag.cleansess,0.007574826905068687,0.007574826905068687,9
RF,LIME,tcp.flags,-0.0027030944409998097,0.0027030944409998097,10
RF,TI,mqtt.protoname_0,0.25648907450750974,0.25648907450750974,1
RF,TI,mqtt.topic_0,0.22409115454938447,0.22409115454938447,2
RF,TI,mqtt.conack.flags_0,0.11881732863178544,0.11881732863178544,3
RF,TI,http.request.version_0,0.08029251252244597,0.08029251252244597,4
RF,TI,mqtt.hdrflags,0.025336000260229984,0.025336000260229984,5
RF,TI,mqtt.msgtype,0.017838120449272812,0.017838120449272812,6
