XAI Method,ML Model,Feature Name,Total Importance
SHAP,DT,Packet Length Mean,120.93756244308832
SHAP,DT,Bwd Packet Length Mean,194.63979574888856
SHAP,DT,Init_Win_bytes_backward,127.90306042283888
SHAP,DT,Flow IAT Max,14.920443066383285
SHAP,DT,Average Packet Size,30.6973094554817
SHAP,DT,Flow IAT Mean,32.81878421105743
SHAP,DT,Bwd Packet Length Max,10.374832579881128
SHAP,DT,Avg Fwd Segment Size,26.596382851059488
SHAP,DT,Max Packet Length,20.408676078626126
SHAP,DT,Min Packet Length,1.125814979739569
LIME,DT,Init_Win_bytes_backward,66.32482899076314
LIME,DT,Packet Length Mean,80.31052465349283
LIME,DT,Flow IAT Mean,26.17891487567362
LIME,DT,Bwd Packet Length Mean,31.913802873880275
LIME,DT,Bwd Packet Length Max,7.768844723845867
LIME,DT,Avg Fwd Segment Size,7.79242301117227
LIME,DT,Max Packet Length,9.478144950148662
LIME,DT,Flow IAT Max,14.266637686500077
LIME,DT,Average Packet Size,8.578211885390788
LIME,DT,Min Packet Length,6.008796020101224
TI,DT,Bwd Packet Length Mean,294.0731554141315
TI,DT,Packet Length Mean,178.05767671340203
TI,DT,Flow IAT Mean,20.14484773123813
TI,DT,Bwd Packet Length Max,4.327765239507897
TI,DT,Init_Win_bytes_backward,89.97750398060253
TI,DT,Avg Fwd Segment Size,2.950913448227715
TI,DT,Min Packet Length,0.5240365265346906
TI,DT,Average Packet Size,0.57848628096135
TI,DT,Max Packet Length,4.901471590234868
TI,DT,Flow IAT Max,2.9597029078514874
