XAI Method,ML Model,Feature Name,Total Importance
SHAP,DT,S,176.81890643632693
SHAP,DT,Duration,99.34201846883575
SHAP,DT,P,6.100894053931433
SHAP,DT,Proto_UDP,42.82357122297711
SHAP,DT,Tos,40.975094072889306
SHAP,DT,A,50.03527340700795
SHAP,DT,F,30.945220929265965
SHAP,DT,Packets,11.789266559890955
SHAP,DT,R,9.046466454695103
SHAP,DT,Proto_TCP,0.0
LIME,DT,S,174.99411484063742
LIME,DT,Tos,168.89969870666815
LIME,DT,F,66.75672324209785
LIME,DT,P,44.25409783886484
LIME,DT,Duration,42.93263844069223
LIME,DT,Proto_UDP,56.151339950080974
LIME,DT,Packets,53.1269484412614
LIME,DT,R,21.935116782410045
LIME,DT,Proto_TCP,0.0
LIME,DT,A,0.0
TI,DT,Duration,137.19358677503934
TI,DT,S,214.00934634062963
TI,DT,Tos,16.191525265598155
TI,DT,F,6.249444258906587
TI,DT,P,0.720179820826559
TI,DT,Packets,9.738508548557519
TI,DT,A,4.808357005295363
TI,DT,R,15.533373084228762
TI,DT,Proto_UDP,1.0177389808023838
TI,DT,Proto_TCP,0.0
