XAI Method,ML Model,Feature Name,Total Importance
SHAP,LGBM,Init_Win_bytes_backward,1556.7121542622822
SHAP,LGBM,Bwd Packet Length Mean,1450.0388229722166
SHAP,LGBM,Packet Length Mean,750.4909249671971
SHAP,LGBM,Bwd Packet Length Max,819.1388930030334
SHAP,LGBM,Average Packet Size,315.7431295031462
SHAP,LGBM,Avg Fwd Segment Size,204.79668574141382
SHAP,LGBM,Flow IAT Mean,184.8715920014883
SHAP,LGBM,Max Packet Length,97.52634082212282
SHAP,LGBM,Min Packet Length,45.19129346622786
SHAP,LGBM,Flow IAT Max,105.94249253572946
LIME,LGBM,Average Packet Size,21.054954748151403
LIME,LGBM,Flow IAT Mean,17.233415558750224
LIME,LGBM,Avg Fwd Segment Size,19.49763698784723
LIME,LGBM,Max Packet Length,15.994474174319208
LIME,LGBM,Packet Length Mean,27.970268403343727
LIME,LGBM,Init_Win_bytes_backward,17.36623373156886
LIME,LGBM,Flow IAT Max,5.882967280269398
LIME,LGBM,Bwd Packet Length Mean,27.164922118503892
LIME,LGBM,Min Packet Length,4.260705074178594
LIME,LGBM,Bwd Packet Length Max,11.707239586553117
