XAI Method,ML Model,Feature Name,Total Importance
SHAP,MLP,Average Packet Size,20490.56818729639
SHAP,MLP,Packet Length Mean,20951.96881067753
SHAP,MLP,Min Packet Length,2365.175336457789
SHAP,MLP,Flow IAT Max,2706.535274988739
SHAP,MLP,Flow IAT Mean,2808.2588262084173
SHAP,MLP,Bwd Packet Length Max,2011.9478743346408
SHAP,MLP,Bwd Packet Length Mean,3638.3014310225844
SHAP,MLP,Max Packet Length,1039.5760168997222
SHAP,MLP,Init_Win_bytes_backward,1241.1813035102969
SHAP,MLP,Avg Fwd Segment Size,497.5788636346115
LIME,MLP,Average Packet Size,317.11944387158655
LIME,MLP,Packet Length Mean,164.82136996123208
LIME,MLP,Min Packet Length,80.72072920523956
LIME,MLP,Flow IAT Mean,45.319940005830624
LIME,MLP,Init_Win_bytes_backward,30.51283238279736
LIME,MLP,Max Packet Length,45.75521984996708
LIME,MLP,Bwd Packet Length Max,20.713391802377192
LIME,MLP,Flow IAT Max,32.26119025638429
LIME,MLP,Bwd Packet Length Mean,30.89804884247715
LIME,MLP,Avg Fwd Segment Size,19.495254270985605
Saliency,MLP,Flow IAT Mean,126796.234375
Saliency,MLP,Min Packet Length,409360.71875
Saliency,MLP,Packet Length Mean,118567.8359375
Saliency,MLP,Init_Win_bytes_backward,86244.3828125
Saliency,MLP,Max Packet Length,46753.7578125
Saliency,MLP,Bwd Packet Length Max,45033.51171875
Saliency,MLP,Average Packet Size,101555.34375
Saliency,MLP,Bwd Packet Length Mean,99416.515625
Saliency,MLP,Flow IAT Max,20702.412109375
Saliency,MLP,Avg Fwd Segment Size,166067.625
DeepLIFT,MLP,Min Packet Length,1493.72900390625
DeepLIFT,MLP,Packet Length Mean,17628.51171875
DeepLIFT,MLP,Bwd Packet Length Mean,3432.70703125
DeepLIFT,MLP,Average Packet Size,16419.916015625
DeepLIFT,MLP,Avg Fwd Segment Size,693.74609375
DeepLIFT,MLP,Max Packet Length,1079.3948974609375
DeepLIFT,MLP,Bwd Packet Length Max,1760.5277099609375
DeepLIFT,MLP,Flow IAT Mean,1707.6741943359375
DeepLIFT,MLP,Flow IAT Max,1912.25341796875
DeepLIFT,MLP,Init_Win_bytes_backward,723.4541015625
IG,MLP,Min Packet Length,1483.7679330470996
IG,MLP,Packet Length Mean,18270.892680404104
IG,MLP,Bwd Packet Length Mean,4019.490127134005
IG,MLP,Average Packet Size,15844.700989582561
IG,MLP,Avg Fwd Segment Size,779.126390934962
IG,MLP,Max Packet Length,1087.9674837890905
IG,MLP,Bwd Packet Length Max,1961.9190498113019
IG,MLP,Flow IAT Mean,1596.1044957680786
IG,MLP,Flow IAT Max,1480.2915389627187
IG,MLP,Init_Win_bytes_backward,719.639916764115
