XAI Method,ML Model,Feature Name,Total Importance
SHAP,MLP,F,1322.1659452859312
SHAP,MLP,S,989.2750057633966
SHAP,MLP,Tos,2076.6845007538795
SHAP,MLP,P,1208.886101745069
SHAP,MLP,Proto_UDP,2085.494910741225
SHAP,MLP,Duration,744.8034226109594
SHAP,MLP,A,1076.3322994560003
SHAP,MLP,R,466.195946149528
SHAP,MLP,Proto_TCP,869.9192686360329
SHAP,MLP,Packets,42.270197351520665
LIME,MLP,Tos,288.5332060435746
LIME,MLP,Proto_UDP,280.342663413669
LIME,MLP,R,237.86770618566243
LIME,MLP,F,205.80901887909363
LIME,MLP,P,150.37096706202183
LIME,MLP,Duration,103.39377680347434
LIME,MLP,Packets,67.63178232437866
LIME,MLP,S,21.27048534067346
LIME,MLP,Proto_TCP,0.0
LIME,MLP,A,0.0
Saliency,MLP,Duration,3550749.75
Saliency,MLP,Tos,39726.34765625
Saliency,MLP,Packets,211870.234375
Saliency,MLP,R,10706.740234375
Saliency,MLP,Proto_UDP,10906.19140625
Saliency,MLP,F,8931.9404296875
Saliency,MLP,A,6470.009765625
Saliency,MLP,S,4803.21337890625
Saliency,MLP,P,2662.7001953125
Saliency,MLP,Proto_TCP,2673.040283203125
DeepLIFT,MLP,F,1449.689208984375
DeepLIFT,MLP,S,786.3207397460938
DeepLIFT,MLP,Proto_TCP,2818.68603515625
DeepLIFT,MLP,A,2109.26611328125
DeepLIFT,MLP,Packets,48.7600212097168
DeepLIFT,MLP,Duration,380.2622375488281
DeepLIFT,MLP,Tos,1634.0203857421875
DeepLIFT,MLP,R,370.8783264160156
DeepLIFT,MLP,Proto_UDP,698.9563598632812
DeepLIFT,MLP,P,783.7894287109375
IG,MLP,F,2723.3123586399756
IG,MLP,A,3149.265645179411
IG,MLP,Proto_TCP,3100.3487166383425
IG,MLP,S,1190.301096991083
IG,MLP,Packets,46.5232824305878
IG,MLP,Duration,424.76924845230013
IG,MLP,Tos,1506.8027034571835
IG,MLP,R,431.8662733586914
IG,MLP,Proto_UDP,723.4137131016475
IG,MLP,P,882.1658910023136
