XAI Method,ML Model,Feature Name,Total Importance
SHAP,MLP,mqtt.topic_0,4600.717792034149
SHAP,MLP,mqtt.protoname_0,4511.404612064362
SHAP,MLP,mqtt.conack.flags_0,2834.695454597473
SHAP,MLP,http.request.version_0,693.0758960843086
SHAP,MLP,mqtt.msgtype,244.61721796542406
SHAP,MLP,mqtt.conflag.cleansess,302.802800193429
SHAP,MLP,mqtt.topic_len,227.53932856023312
SHAP,MLP,mqtt.hdrflags,129.26456973701715
SHAP,MLP,icmp.seq_le,255.93161456286907
SHAP,MLP,tcp.flags,338.4373249434866
LIME,MLP,mqtt.topic_0,408.04876883508626
LIME,MLP,mqtt.protoname_0,283.4744390711295
LIME,MLP,mqtt.conack.flags_0,208.05189970433375
LIME,MLP,mqtt.conflag.cleansess,114.74406052824577
LIME,MLP,http.request.version_0,86.38848272521064
LIME,MLP,mqtt.msgtype,61.11164717343795
LIME,MLP,mqtt.topic_len,98.56609796254685
LIME,MLP,icmp.seq_le,62.37048062129926
LIME,MLP,mqtt.hdrflags,43.440300538364966
LIME,MLP,tcp.flags,11.091993109091813
Saliency,MLP,mqtt.topic_0,5912.49169921875
Saliency,MLP,mqtt.protoname_0,5616.9697265625
Saliency,MLP,mqtt.msgtype,2809.3994140625
Saliency,MLP,mqtt.conack.flags_0,3726.830322265625
Saliency,MLP,icmp.seq_le,2356.254638671875
Saliency,MLP,mqtt.topic_len,2307.419921875
Saliency,MLP,mqtt.conflag.cleansess,3100.29296875
Saliency,MLP,mqtt.hdrflags,1603.134765625
Saliency,MLP,http.request.version_0,1880.0072021484375
Saliency,MLP,tcp.flags,1333.846923828125
DeepLIFT,MLP,http.request.version_0,202.0715789794922
DeepLIFT,MLP,tcp.flags,465.28033447265625
DeepLIFT,MLP,mqtt.protoname_0,7779.20263671875
DeepLIFT,MLP,mqtt.topic_0,7910.59716796875
DeepLIFT,MLP,mqtt.conack.flags_0,4702.2265625
DeepLIFT,MLP,mqtt.hdrflags,131.92613220214844
DeepLIFT,MLP,mqtt.msgtype,259.5891418457031
DeepLIFT,MLP,icmp.seq_le,119.48146057128906
DeepLIFT,MLP,mqtt.conflag.cleansess,185.7341766357422
DeepLIFT,MLP,mqtt.topic_len,199.3852081298828
IG,MLP,http.request.version_0,201.1353172872336
IG,MLP,tcp.flags,409.0276191007879
IG,MLP,mqtt.protoname_0,7670.466426712817
IG,MLP,mqtt.topic_0,7978.907861101795
IG,MLP,mqtt.conack.flags_0,4806.862631496582
IG,MLP,mqtt.hdrflags,147.8391140489706
IG,MLP,mqtt.msgtype,260.03807385528734
IG,MLP,icmp.seq_le,119.50870141119381
IG,MLP,mqtt.conflag.cleansess,186.10894411286208
IG,MLP,mqtt.topic_len,199.14788347350793
