XAI Method,ML Model,Feature Name,Total Importance
SHAP,RF,Bwd Packet Length Mean,91.29426457017757
SHAP,RF,Bwd Packet Length Max,78.58267754290463
SHAP,RF,Init_Win_bytes_backward,73.71222196942126
SHAP,RF,Packet Length Mean,66.66779217030603
SHAP,RF,Average Packet Size,47.455685078440936
SHAP,RF,Flow IAT Mean,38.2432016995547
SHAP,RF,Max Packet Length,31.06853533647878
SHAP,RF,Avg Fwd Segment Size,27.49771941823883
SHAP,RF,Flow IAT Max,21.82687526488493
SHAP,RF,Min Packet Length,6.821415713760679
LIME,RF,Packet Length Mean,58.82145688174721
LIME,RF,Flow IAT Mean,35.5985982446276
LIME,RF,Avg Fwd Segment Size,24.98916325501449
LIME,RF,Bwd Packet Length Max,15.660448210945155
LIME,RF,Bwd Packet Length Mean,25.44125337595968
LIME,RF,Min Packet Length,13.501791421076156
LIME,RF,Max Packet Length,28.970182160030173
LIME,RF,Flow IAT Max,13.678854966309618
LIME,RF,Init_Win_bytes_backward,11.096919451924665
LIME,RF,Average Packet Size,18.49035573222966
TI,RF,Bwd Packet Length Mean,107.63070594191721
TI,RF,Bwd Packet Length Max,92.65187659069313
TI,RF,Average Packet Size,73.72073308015311
TI,RF,Packet Length Mean,72.99070167378851
TI,RF,Max Packet Length,46.768328377017
TI,RF,Avg Fwd Segment Size,22.039138856511414
TI,RF,Flow IAT Max,26.66897675105268
TI,RF,Flow IAT Mean,29.220229099875063
TI,RF,Min Packet Length,5.447590827519408
TI,RF,Init_Win_bytes_backward,63.49974748749573
