XAI Method,ML Model,Feature Name,Total Importance
SHAP,RF,S,112.64942480239637
SHAP,RF,F,54.64895192120966
SHAP,RF,P,20.327318849288496
SHAP,RF,Duration,65.78907465286065
SHAP,RF,Packets,47.085094554296376
SHAP,RF,Tos,35.52919438459561
SHAP,RF,A,27.109172227008347
SHAP,RF,Proto_UDP,30.35436446992138
SHAP,RF,Proto_TCP,9.539704714317573
SHAP,RF,R,9.190913323230898
LIME,RF,S,143.35349228266648
LIME,RF,Tos,109.1990950890546
LIME,RF,Duration,45.17979805687748
LIME,RF,P,42.19164373803944
LIME,RF,Proto_UDP,48.318776102333295
LIME,RF,R,30.773244555976117
LIME,RF,F,26.38802679967323
LIME,RF,Packets,42.33290243417675
LIME,RF,Proto_TCP,0.0
LIME,RF,A,0.0
TI,RF,S,117.10572155490304
TI,RF,F,58.56361426453813
TI,RF,Packets,59.60338274047284
TI,RF,Duration,100.45188701203071
TI,RF,P,11.77974799727332
TI,RF,Tos,29.839577605494664
TI,RF,A,12.044224074924596
TI,RF,Proto_TCP,5.585346942204976
TI,RF,Proto_UDP,3.845678237674842
TI,RF,R,13.897664960258709
