XAI Method,ML Model,Feature Name,Total Importance
SHAP,RF,mqtt.protoname_0,170.32007737792767
SHAP,RF,mqtt.topic_0,140.73126767345082
SHAP,RF,mqtt.conack.flags_0,61.80913932760832
SHAP,RF,http.request.version_0,10.844370883313132
SHAP,RF,mqtt.hdrflags,13.468511497682865
SHAP,RF,mqtt.msgtype,14.701423703445784
SHAP,RF,tcp.flags,17.41378822109758
SHAP,RF,mqtt.topic_len,4.46532349765259
SHAP,RF,mqtt.conflag.cleansess,1.7490138301497136
SHAP,RF,icmp.seq_le,2.4732977244028103
LIME,RF,mqtt.protoname_0,371.4113475076546
LIME,RF,mqtt.topic_0,306.3978167769527
LIME,RF,mqtt.conack.flags_0,89.2530500119846
LIME,RF,mqtt.msgtype,62.635460368355034
LIME,RF,http.request.version_0,83.84427152772227
LIME,RF,mqtt.hdrflags,53.79576043577129
LIME,RF,icmp.seq_le,25.33295110426199
LIME,RF,mqtt.topic_len,23.429304454261057
LIME,RF,mqtt.conflag.cleansess,7.736104267953199
LIME,RF,tcp.flags,4.577308657285697
TI,RF,mqtt.protoname_0,162.56918920046826
TI,RF,mqtt.topic_0,133.77046702399045
TI,RF,mqtt.conack.flags_0,70.40564573679612
TI,RF,http.request.version_0,14.10825258995058
TI,RF,mqtt.hdrflags,14.016938444533421
TI,RF,mqtt.msgtype,14.442127290621965
TI,RF,mqtt.topic_len,5.2615609236810394
TI,RF,tcp.flags,32.2520388557012
TI,RF,mqtt.conflag.cleansess,1.7600631537712486
TI,RF,icmp.seq_le,3.7070715637050364
