XAI Method,ML Model,Feature Name,Total Importance
SHAP,SLP,Average Packet Size,20219.51465688646
SHAP,SLP,Packet Length Mean,17394.330210208893
SHAP,SLP,Min Packet Length,3157.6827648095787
SHAP,SLP,Max Packet Length,3872.1393988300115
SHAP,SLP,Flow IAT Max,3049.963585568592
SHAP,SLP,Bwd Packet Length Max,3658.486495789606
SHAP,SLP,Flow IAT Mean,2301.592494243756
SHAP,SLP,Bwd Packet Length Mean,1721.0993972681463
SHAP,SLP,Init_Win_bytes_backward,790.5784003646404
SHAP,SLP,Avg Fwd Segment Size,1423.6089344606735
LIME,SLP,Average Packet Size,246.90544278950563
LIME,SLP,Packet Length Mean,195.82695365941302
LIME,SLP,Bwd Packet Length Max,167.9506166890192
LIME,SLP,Min Packet Length,112.81956719322774
LIME,SLP,Max Packet Length,122.96591282011549
LIME,SLP,Flow IAT Mean,54.285280372722376
LIME,SLP,Init_Win_bytes_backward,38.0731255193357
LIME,SLP,Flow IAT Max,45.7695560755017
LIME,SLP,Avg Fwd Segment Size,71.25286315972512
LIME,SLP,Bwd Packet Length Mean,37.34637102656647
Saliency,SLP,Avg Fwd Segment Size,346314.53125
Saliency,SLP,Min Packet Length,485982.34375
Saliency,SLP,Average Packet Size,122626.015625
Saliency,SLP,Flow IAT Mean,98922.6796875
Saliency,SLP,Packet Length Mean,100866.8671875
Saliency,SLP,Max Packet Length,192623.359375
Saliency,SLP,Flow IAT Max,26857.369140625
Saliency,SLP,Bwd Packet Length Mean,183951.609375
Saliency,SLP,Init_Win_bytes_backward,91979.03125
Saliency,SLP,Bwd Packet Length Max,66681.2890625
DeepLIFT,SLP,Min Packet Length,2680.622314453125
DeepLIFT,SLP,Avg Fwd Segment Size,2600.322021484375
DeepLIFT,SLP,Bwd Packet Length Mean,1972.7359619140625
DeepLIFT,SLP,Packet Length Mean,14807.392578125
DeepLIFT,SLP,Average Packet Size,17053.513671875
DeepLIFT,SLP,Max Packet Length,3565.529541015625
DeepLIFT,SLP,Bwd Packet Length Max,3110.075927734375
DeepLIFT,SLP,Flow IAT Max,2507.845703125
DeepLIFT,SLP,Flow IAT Mean,1462.348876953125
DeepLIFT,SLP,Init_Win_bytes_backward,544.798583984375
IG,SLP,Min Packet Length,2680.4297572162664
IG,SLP,Avg Fwd Segment Size,2599.748644094079
IG,SLP,Bwd Packet Length Mean,1979.6413808639963
IG,SLP,Packet Length Mean,14806.679008238805
IG,SLP,Average Packet Size,17057.000220722042
IG,SLP,Max Packet Length,3554.1099786800114
IG,SLP,Bwd Packet Length Max,3109.61749296069
IG,SLP,Flow IAT Max,2504.1412290026337
IG,SLP,Flow IAT Mean,1461.88483169929
IG,SLP,Init_Win_bytes_backward,543.1639652485629
