XAI Method,ML Model,Feature Name,Total Importance
SHAP,SLP,S,1161.601150766015
SHAP,SLP,F,627.5235454221256
SHAP,SLP,Tos,1096.142053335905
SHAP,SLP,Duration,396.60804070485756
SHAP,SLP,P,593.7817013338208
SHAP,SLP,A,624.0117413047701
SHAP,SLP,Proto_UDP,850.0882811248302
SHAP,SLP,Proto_TCP,404.5776714235544
SHAP,SLP,R,395.1638166308403
SHAP,SLP,Packets,5.039461705924623
LIME,SLP,S,301.3986936605114
LIME,SLP,Tos,148.7969601514557
LIME,SLP,F,177.63218190230253
LIME,SLP,Proto_UDP,116.22268932825298
LIME,SLP,Duration,89.01602536738508
LIME,SLP,R,48.48779654336826
LIME,SLP,P,9.438466517726832
LIME,SLP,Packets,14.216163472826903
LIME,SLP,A,0.0
LIME,SLP,Proto_TCP,0.0
Saliency,SLP,Duration,4002963.25
Saliency,SLP,Tos,46722.80078125
Saliency,SLP,Packets,60199.64453125
Saliency,SLP,S,4218.29833984375
Saliency,SLP,R,5290.19091796875
Saliency,SLP,Proto_UDP,5269.64306640625
Saliency,SLP,F,2478.5068359375
Saliency,SLP,Proto_TCP,3248.90576171875
Saliency,SLP,P,2857.870849609375
Saliency,SLP,A,3029.150146484375
DeepLIFT,SLP,S,1040.7158203125
DeepLIFT,SLP,Proto_TCP,2840.257080078125
DeepLIFT,SLP,F,845.2166137695312
DeepLIFT,SLP,A,2472.611328125
DeepLIFT,SLP,Packets,4.447335720062256
DeepLIFT,SLP,Duration,128.04762268066406
DeepLIFT,SLP,Tos,537.65380859375
DeepLIFT,SLP,R,220.08265686035156
DeepLIFT,SLP,Proto_UDP,663.6406860351562
DeepLIFT,SLP,P,548.1658325195312
IG,SLP,S,1047.2958712080986
IG,SLP,Proto_TCP,2817.1838999791607
IG,SLP,F,847.7788912761016
IG,SLP,A,2450.3830465100637
IG,SLP,Packets,4.443356952021251
IG,SLP,Duration,127.97708710038481
IG,SLP,Tos,543.7390359647146
IG,SLP,R,223.19478163851662
IG,SLP,Proto_UDP,658.8193390002957
IG,SLP,P,538.114562213723
