XAI Method,ML Model,Feature Name,Total Importance
SHAP,SLP,mqtt.topic_0,4755.535277843475
SHAP,SLP,mqtt.protoname_0,4449.497612953186
SHAP,SLP,mqtt.conack.flags_0,2824.9559547901154
SHAP,SLP,http.request.version_0,582.2161087691784
SHAP,SLP,mqtt.msgtype,521.2020283490419
SHAP,SLP,mqtt.hdrflags,453.8051824718714
SHAP,SLP,mqtt.conflag.cleansess,339.88007967174053
SHAP,SLP,mqtt.topic_len,265.64005099982023
SHAP,SLP,icmp.seq_le,276.95312959328294
SHAP,SLP,tcp.flags,150.9343885332346
LIME,SLP,mqtt.topic_0,378.66109111696125
LIME,SLP,mqtt.protoname_0,350.14875741278337
LIME,SLP,mqtt.conack.flags_0,296.8037280854011
LIME,SLP,mqtt.conflag.cleansess,122.62601685679837
LIME,SLP,mqtt.msgtype,98.66883204528126
LIME,SLP,mqtt.hdrflags,93.68581466468218
LIME,SLP,mqtt.topic_len,95.97790948064329
LIME,SLP,http.request.version_0,45.78532507567551
LIME,SLP,icmp.seq_le,39.734769429293955
LIME,SLP,tcp.flags,11.69089085734828
Saliency,SLP,mqtt.topic_0,7251.7890625
Saliency,SLP,mqtt.protoname_0,6735.31005859375
Saliency,SLP,mqtt.msgtype,6324.9013671875
Saliency,SLP,mqtt.hdrflags,5435.40478515625
Saliency,SLP,mqtt.conack.flags_0,4533.84375
Saliency,SLP,mqtt.conflag.cleansess,4201.0029296875
Saliency,SLP,icmp.seq_le,2722.12109375
Saliency,SLP,mqtt.topic_len,3091.51171875
Saliency,SLP,http.request.version_0,2188.635498046875
Saliency,SLP,tcp.flags,1476.7510986328125
DeepLIFT,SLP,http.request.version_0,264.5375061035156
DeepLIFT,SLP,tcp.flags,844.01708984375
DeepLIFT,SLP,mqtt.protoname_0,7101.6669921875
DeepLIFT,SLP,mqtt.topic_0,7538.50146484375
DeepLIFT,SLP,mqtt.conack.flags_0,4472.1796875
DeepLIFT,SLP,mqtt.hdrflags,370.8012390136719
DeepLIFT,SLP,mqtt.msgtype,399.2353515625
DeepLIFT,SLP,icmp.seq_le,163.39190673828125
DeepLIFT,SLP,mqtt.conflag.cleansess,194.32041931152344
DeepLIFT,SLP,mqtt.topic_len,153.92271423339844
IG,SLP,http.request.version_0,264.56107189158604
IG,SLP,tcp.flags,844.887529144189
IG,SLP,mqtt.protoname_0,7104.9659763065365
IG,SLP,mqtt.topic_0,7543.044939748607
IG,SLP,mqtt.conack.flags_0,4474.230712261302
IG,SLP,mqtt.hdrflags,370.3289043472607
IG,SLP,mqtt.msgtype,398.713890020217
IG,SLP,icmp.seq_le,163.37560126405657
IG,SLP,mqtt.conflag.cleansess,194.29655489233255
IG,SLP,mqtt.topic_len,153.84789786605737
